route,ms,bytes
/,1623,130567
/therapists,1161,64186
/community-guidelines,735,61791
/verification,579,65652
/signup/plan,520,63375
/trust,457,65192
/contact,441,75712
/signup/account,410,59216
/privacy,408,72419
/explore,408,71499
/dallas,407,99705
/about,397,56236
/search,377,140465
/legal,374,175218
/signup,368,72975
/sitemap.xml,368,21636
/forgot-password,364,42412
/safety,359,67250
/login,348,41999
/cookie-policy,335,55571
/therapists/kevin-os,313,90230
/miami,298,84484
/pricing,288,349958
/cities,284,191483
/terms,276,69046
/accessibility,263,50586
/therapists/bruno-dallas-tx,256,64186
/houston,254,86523
/austin,235,85052
/cookies,230,55571
/dashboard,228,41999
/new-york,227,79036
/chicago,219,85204
/atlanta,217,78933
/los-angeles,211,79384
/robots.txt,206,2084
/blog,205,58021
/orlando,205,76874
/las-vegas,196,79127
/this-page-should-404,165,24101
/pro/photos,81,41999
/pro/profile,77,41999
/pro/listing,73,41999
/pro/availability,73,41999
/pro/dashboard,70,41999
/admin,69,41999
/pro/billing,68,41999
/pro/settings,67,41999